time,value
1618838102721,17576.02
1618838403242,17573.760000000002
1618838702950,17581.47
1618839003536,17566
1618839303148,17577.67
1618839602740,17610.47
1618839903380,17610.170000000002
1618840203144,17606.11
1618840502762,17634.34
1618840803738,17622.79
1618841103458,17503.16
1618841403731,17487.84
1618841703381,17499.57
1618842003101,17471.06
1618842302673,17514.45
1618842603300,17479.89
1618842902906,17457.449999999997
1618843203622,17411.91
1618843503174,17364.34
1618843802885,17329.2
1618844103430,17394.22
1618844403000,17378.32
1618844702629,17355.4
1618845003332,17358.86
1618845302831,17395.75
1618845603587,17406.9
1618845903184,17368.07
1618846202726,17391.74
1618846503541,17350.68
1618846803120,17370.14
1618847102612,17319.73
1618847403302,17312.059999999998
1618847702820,17339.04
1618848003383,17310.7
1618848302885,17284.11
1618848604135,17323.91
1618848903072,17339.41
1618849202729,17350.71
1618849503312,17364.27
1618849802992,17322.93
1618850102540,17297.02
1618850403129,17314.29
1618850702641,17297.5
1618851003351,17298.95
1618851302866,17305.879999999997
1618851603480,17300.29
1618851903168,17330.29
1618852202874,17339.71
1618852503408,17375.33
1618852803021,17359.53
1618853102565,17351.14
1618853403139,17344.75
1618853702845,17344.71
1618854003422,17384.32
1618854303259,17368.239999999998
1618854602965,17382.53
1618854903491,17375.190000000002
1618855203302,17382.89
1618855502868,17416.059999999998
1618855803341,17407.23
1618856103047,17430.43
1618856402581,17438.629999999997
1618856703110,17452.010000000002
1618857002670,17428.31
1618857303255,17417.64
1618857603059,17370.379999999997
1618857902519,17395.23
1618858203285,17421.85
1618858502845,17431.96
1618858803623,17426.16
1618859103222,17424.78
1618859402635,17428.16
1618859703165,17420.07
1618860002959,17409.29
1618860303398,17404.54
1618860603979,17428.63
1618860903501,17423.84
1618861203331,17423.77
1618861502964,17444.64
1618861803598,17424.25
1618862103205,17441.04
1618862402734,17467.760000000002
1618862703266,17461.39
1618863002886,17462.54
1618863303391,17464.239999999998
1618863602845,17468.59
1618863903381,17474.84
1618864202866,17474.55
1618864503391,17475.559999999998
1618864802946,17479.02
1618865103418,17477.34
1618865403058,17476.47
1618865702512,17473.78
1618866003288,17472.239999999998
1618866302789,17474.96
1618866603277,17480.65
1618866902878,17481.99
1618867203372,17492.22
1618867502945,17515.03
1618867803409,17528.83
1618868102926,17531.65
1618868402464,17543.92
1618868702957,17536.309999999998
1618869002442,17530.81
1618869303079,17520.33
1618869602631,17522.41
1618869903148,17520.89
1618870202622,17519.059999999998
1618870503182,17521.74
1618870802703,17519.82
1618871103196,17521.01
1618871402739,17523.58
1618871703212,17514.83
1618872002689,17519.88
1618872303239,17515.38
1618872602746,17509.27
1618872903303,17513.71
1618873202801,17515.06
1618873503372,17513.59
1618873802952,17514.3
1618874103418,17515.760000000002
1618874403099,17513.3
1618874702594,17515.77
1618875003246,17515.13
1618875302768,17496.78
1618875603288,17496.98
1618875902737,17501.38
1618876203227,17502.15
1618876502774,17500.42
1618876803292,17485.72
1618877102833,17486.04
1618877403324,17486.04
1618877702812,17486.32
1618878003343,17486.32
1618878302967,17485.24
1618878602539,17485.24
1618878902965,17486.04
1618879202521,17486.04
1618879503170,17485.24
1618879802621,17485.440000000002
1618880103174,17485.64
1618905602996,17487.73
1618905902545,17500.37
1618906203026,17515.21
1618906502499,17537.83
1618906803030,17534.239999999998
1618907102477,17538.47
1618907402989,17541.23
1618907702486,17525.77
1618908003010,17518.45
1618908302461,17518.73
1618908602999,17534.510000000002
1618908902464,17533.809999999998
1618909202986,17525.879999999997
1618909502552,17521.74
1618909803166,17515.17
1618910102621,17505.81
1618910403142,17499.77
1618910702684,17486.079999999998
1618911003225,17469.329999999998
1618911302731,17449.04
1618911603179,17440.46
1618911902649,17432.12
1618912203163,17425.59
1618912502646,17424.53
1618912803171,17422.17
1618913102704,17420.449999999997
1618913403215,17408.45
1618913702697,17407.48
1618914003171,17419.96
1618914302699,17414.25
1618914603187,17428.43
1618914902655,17439.29
1618915203182,17453.809999999998
1618915502677,17434.64
1618915803183,17440.5
1618916102723,17444.55
1618916403230,17445.45
1618916702768,17432.82
1618917003247,17432
1618917302692,17440.68
1618917603152,17431.690000000002
1618917902714,17429.620000000003
1618918203254,17427.09
1618918502735,17440.56
1618918803256,17428.63
1618919102693,17449.96
1618919403206,17446.32
1618919702728,17456.3
1618920003290,17453.5
1618920302876,17456.45
1618920603383,17447.67
1618920902856,17447.91
1618921203407,17446.800000000003
1618921502846,17432.2
1618921803370,17432.190000000002
1618922102911,17427.25
1618922403431,17430.809999999998
1618922702985,17431
1618923003559,17435.84
1618923303128,17439.55
1618923602706,17429.53
1618923903212,17432.52
1618924202752,17453.79
1618924503245,17455.78
1618924802891,17463.39
1618925103483,17481.61
1618925403094,17459.63
1618925702753,17425.45
1618926003362,17453.27
1618926302954,17503.72
1618926603559,17529.45
1618926903232,17510.45
1618927202933,17497.09
1618927502606,17480.06
1618927803335,17496.67
1618928103309,17469.96
1618928402906,17493.71
1618928703558,17475.38
1618929003203,17469.059999999998
1618929302848,17410.28
1618929603469,17356.68
1618929903107,17277.55
1618930202764,17279.45
1618930503342,17226.95
1618930802962,17270.22
1618931102651,17276.77
1618931403364,17293.629999999997
1618931703104,17227.39
1618932002779,17132.28
1618932303560,17106.41
1618932603077,17123.73
1618932903012,17133.9
1618933202680,17095.79
1618933503328,17138.79
1618933803025,17174.57
1618934102512,17209.27
1618934403243,17202.67
1618934702884,17212.39
1618935003598,17203.04
1618935303220,17235.18
1618935603012,17224.34
1618935902508,17207.940000000002
1618936203336,17187.71
1618936502881,17150.78
1618936803507,17144.04
1618937103012,17124.370000000003
1618937402771,17130.39
1618937703383,17109.91
1618938002967,17152.89
1618938303397,17140.39
1618938603065,17126.22
1618938902586,17127.69
1618939203194,17146.18
1618939502897,17093.4
1618939803582,17113.77
1618940103088,17115.33
1618940402615,17132.04
1618940703156,17120.510000000002
1618941002745,17142.559999999998
1618941303258,17159.52
1618941602795,17163.98
1618941903395,17154.04
1618942202875,17128.11
1618942503431,17119.7
1618942803007,17123.12
1618943102556,17133.77
1618943403081,17101.02
1618943703733,17078.19
1618944003245,17081.949999999997
1618944302841,17102.59
1618944603507,17099.93
1618944903012,17083.57
1618945202559,17062.07
1618945503099,17111.989999999998
1618945802647,17141.09
1618946103379,17142.85
1618946403003,17121.620000000003
1618946702548,17135.72
1618947003181,17166.55
1618947302780,17189.449999999997
1618947603328,17175.97
1618947903113,17211.11
1618948202707,17195.96
1618948503222,17212.16
1618948802937,17202.440000000002
1618949103493,17189.07
1618949403222,17181.29
1618949702774,17182.27
1618950003387,17181.239999999998
1618950302845,17177.73
1618950603521,17169.260000000002
1618950903063,17173.3
1618951202550,17178.59
1618951503262,17177.73
1618951802753,17175.96
1618952103231,17177.29
1618952402713,17172.03
1618952703219,17164.59
